BasinID,Intercept,Beta_P,Beta_ET,Beta_Q,Beta_GW,Beta_SW,Mean_Delta_R2
61,0.0257973547432902,4.45502156198234,-0.250989056594417,-5.53949528615509,-10346506.1288955,0.903895574782115,0.00504786904640798
62,-0.0369132793402102,4.17006747786926,-0.00669411812373176,-4.1607298362705,25692330.8715913,2479.27243798333,0.00918650250453244
63,-0.0736767603480658,5.91146447203525,-0.0569232316750397,-5.69540378527056,-7913673796.36296,3.27387526987284,0.0101287055736195
64,-0.0902053552761933,3.39075666407428,-0.10851406997871,-7.13016364213632,427779.983330113,-6495.94840574975,0.0074007078370459
65,0.0313433509893551,4.24330734292698,0.0741365762324213,-288.941162503222,3148991040.40768,4985070.2677533,0.0088079327125534
66,0.0526269211686911,8.53903272898514,-0.219791339160229,-7.29639839919068,8709637.02204534,-56684.3350492801,0.0071650877300599
67,-0.100092277503635,8.78815918171047,-0.147664012636236,-33.9933633325319,-1223902702.27783,20.5977878974931,0.00565749926389811
68,-0.229805286617669,4.44415478694301,-0.242120361042019,-2.34880714464762,8649499.62255861,-3.82202651526836,0.00925926799573701
69,-0.106773990882247,4.1071927185634,-0.162131308352688,-18.312740750584,1709065382.12655,232.52121297979,0.0083522492374705
70,0.00852634611338391,2.27184180414021,-0.0477874537045629,-0.210686489165489,118591000.287181,-3642.53010899632,0.00969850473205749
71,-0.108888786425415,8.36142395047493,-0.096705570311389,-7.34476636194093,-77937589829.7106,-31801.8090698822,0.00723768658025949
72,-0.0540742461001205,3.36659655868922,0.111407431416686,-8.45357771755682,26379407472.7923,3788.45468255395,0.0116165190481582
73,-0.0229336251367026,4.75858781286976,-0.305641397553711,0.103653995894866,-566399249.297771,2763.37746562836,0.0122039005376446
74,-0.105003992865033,12.2844195507967,-0.0369497828098337,-14.7453618997057,-141903144129.985,4949.08984414708,0.00658374293198673
75,-0.104506668868487,4.03389761783619,-0.107703789748647,-3.65605979411085,-380249457.670111,-16830.319861292,0.00890093021591244
